               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.5928,              1.2517,              1.0222,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.07003,             0.00333,             0.00333
                   1,              1.5071,             0.94002,             0.98416,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.039989,           0.0066221,           0.0066221
                   2,              1.5177,             0.92317,             0.98659,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009906,            0.009873,            0.009873
                   3,              1.5088,             0.92116,             0.98611,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0098144,           0.0098144,           0.0098144
                   4,              1.4445,              0.8472,             0.96801,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0098144,           0.0098144,           0.0098144
                   5,              1.4078,             0.80726,             0.95977,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0097525,           0.0097525,           0.0097525
                   6,              1.3708,             0.77081,             0.95055,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0096906,           0.0096906,           0.0096906
                   7,              1.3468,             0.74819,             0.94387,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0096288,           0.0096288,           0.0096288
                   8,               1.319,             0.72412,              0.9391,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0095669,           0.0095669,           0.0095669
                   9,              1.2989,             0.70834,             0.93377,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                  10,              1.2829,             0.69589,             0.93029,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0094431,           0.0094431,           0.0094431
                  11,              1.2636,             0.67893,             0.92453,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0093813,           0.0093813,           0.0093813
                  12,              1.2557,               0.674,             0.92348,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0093194,           0.0093194,           0.0093194
                  13,              1.2438,             0.66417,             0.92073,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0092575,           0.0092575,           0.0092575
                  14,              1.2365,              0.6597,             0.91948,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0091956,           0.0091956,           0.0091956
                  15,              1.2249,             0.65205,             0.91557,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0091337,           0.0091337,           0.0091337
                  16,              1.2155,              0.6431,             0.91337,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0090719,           0.0090719,           0.0090719
                   0,              1.1545,             0.60127,             0.90117,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.070026,           0.0033304,           0.0033304
                   1,              1.1291,              0.5818,             0.89556,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.039979,           0.0066167,           0.0066167
                   2,              1.1621,             0.60634,             0.90168,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0098846,           0.0098557,           0.0098557
                   3,              1.2113,             0.64195,              0.9135,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0097879,           0.0097879,           0.0097879
                   4,              1.2023,             0.63707,             0.91015,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0097879,           0.0097879,           0.0097879
                   5,              1.2019,             0.63613,             0.91091,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0097171,           0.0097171,           0.0097171
                   6,              1.1934,              0.6304,             0.90884,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0096464,           0.0096464,           0.0096464
                   7,              1.1901,             0.62825,             0.90802,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0095757,           0.0095757,           0.0095757
                   8,              1.1812,             0.62171,             0.90589,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                   9,              1.1741,             0.61777,             0.90298,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0094343,           0.0094343,           0.0094343
                  10,              1.1691,              0.6141,             0.90226,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0093636,           0.0093636,           0.0093636
                  11,              1.1657,             0.61252,             0.90136,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0092929,           0.0092929,           0.0092929
                  12,              1.1556,             0.60713,             0.90066,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0092221,           0.0092221,           0.0092221
                  13,              1.1508,             0.60202,              0.8998,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0091514,           0.0091514,           0.0091514
                  14,              1.1511,             0.60181,             0.89957,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0090807,           0.0090807,           0.0090807
                  15,              1.1381,             0.59363,             0.89712,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  16,              1.1403,             0.59679,             0.89564,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0089393,           0.0089393,           0.0089393
                  17,              1.1366,              0.5925,             0.89423,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0088686,           0.0088686,           0.0088686
                  18,              1.1242,              0.5852,             0.89374,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0087979,           0.0087979,           0.0087979
                  19,              1.1263,              0.5872,             0.89297,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0087271,           0.0087271,           0.0087271
