               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.3483,             0.86852,              1.1616,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.070003,            0.003333,            0.003333
                   0,              1.2769,             0.78412,               1.184,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.070003,            0.003333,            0.003333
                   1,              1.2213,             0.72624,              1.1484,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.039838,           0.0065013,           0.0065013
                   2,                1.32,             0.83069,              1.1959,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0095082,           0.0095047,           0.0095047
                   3,              1.3335,             0.84575,              1.2033,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0092575,           0.0092575,           0.0092575
                   4,              1.2851,              0.7976,              1.1788,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0092575,           0.0092575,           0.0092575
                   5,              1.2599,              0.7728,              1.1649,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                   6,              1.2444,             0.76061,              1.1594,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0087625,           0.0087625,           0.0087625
                   7,              1.2296,             0.74784,              1.1494,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                   8,              1.2206,             0.73775,              1.1457,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0082675,           0.0082675,           0.0082675
                   9,              1.2106,             0.72974,              1.1402,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  10,              1.2012,             0.72172,              1.1352,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0077725,           0.0077725,           0.0077725
                  11,              1.1925,             0.71447,              1.1323,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007525,            0.007525,            0.007525
                  12,              1.1824,             0.70734,              1.1268,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0072775,           0.0072775,           0.0072775
                  13,              1.1743,             0.69966,              1.1223,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                  14,               1.166,             0.69355,              1.1191,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0067825,           0.0067825,           0.0067825
                  15,              1.1587,             0.68649,              1.1144,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.006535,            0.006535,            0.006535
                  16,              1.1492,             0.67944,              1.1111,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0062875,           0.0062875,           0.0062875
                  17,              1.1419,             0.67383,              1.1075,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  18,              1.1329,             0.66625,              1.1039,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0057925,           0.0057925,           0.0057925
                  19,              1.1243,             0.65957,               1.101,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005545,            0.005545,            0.005545
                  20,              1.1148,             0.65322,              1.0961,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0052975,           0.0052975,           0.0052975
                  21,              1.1049,             0.64527,              1.0921,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  22,              1.0951,             0.63825,              1.0872,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0048025,           0.0048025,           0.0048025
                  23,              1.0883,             0.63305,              1.0832,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.004555,            0.004555,            0.004555
